"program_key","primary_school","difficulty_level","duration","program_title","generic_program_title","part_title","generic_part_title","part_summary","lesson_title","generic_lesson_title","lesson_summary","locale"
"cd13581","Product Management","Intermediate","","Bespoke Datasets for Multimodal AI Products","Bespoke Datasets for Multimodal AI Products","Bespoke Datasets for Multimodal AI Products","Bespoke Datasets for Multimodal AI Products","This course is for product managers who want to build AI products that include multimodal data such as text, video, and audio. Leveraging existing data for AI applications is a great way to get started, but bespoke datasets can offer improved accuracy, domain specificity, and, ultimately, a competitive advantage. The course starts with an overview of supervised machine learning techniques, computer vision—the technology that allows computers to ""see""—and how computer vision and supervised ML can be combined. Then, you'll learn more about how to create bespoke datasets for computer vision and other applications, and conclude with a walkthrough of the key stakeholders involved in AI product development. In the project, you'll develop a roadmap for an AI-powered video creation app.","Supervised Machine Learning and Computer Vision","Supervised Machine Learning and Computer Vision","Dive deeper into each step of the supervised machine learning process, from data understanding to model evaluation, then learn how to combine these approaches with computer vision technology","en-us"
"ep245","Business","Beginner","1 Months","How to Build a Startup","How to Build a Startup","How to Build a Startup","How to Build a Startup","","Value Proposition","Value Proposition","","en-us"
"nd019","Programming and Development","Intermediate","2 Months","React","React","React and Redux","React & Redux","The focus of the course is on managing state in an application. You will learn about Redux and the Redux ecosystem as a powerful tool to help you accomplish this.  You will also learn how to use advanced testing techniques using JEST.","Redux Middleware","Redux Middleware","You’ll learn to create custom middleware and add it to your Redux store. This middleware will allow you to enhance your store by hooking into and intercepting actions before they reach any reducers.","en-us"
"nd229","Artificial Intelligence","Intermediate","3 Months","Introduction to Machine Learning with Pytorch","Intro to Machine Learning with PyTorch","Additional Material: Python for Data Visualization","Additional Material: Python for Data Visualization","","Univariate Exploration of Data","Univariate Exploration of Data","In this lesson, you will see how you can use matplotlib and seaborn to produce informative visualizations of single variables.","en-us"
"nd000","Programming and Development","Beginner","4 Months","Introduction to Programming","Introduction to Programming","Introduction to Programming with Python I","Intro to Programming with Python I","Learn basic programming with Python, one of the most versatile and widely used programming languages! You'll first learn core programming concepts and fundamental Python syntax by writing code to make a virtual ""turtle"" robot draw colorful shapes on the screen. You'll then learn how to write Python functions, run Python from a Command-Line Interface (CLI), manipulate strings and lists, and refactor your code to improve its structure and make it more modular.","Strings and Lists","SE102.1 Strings, Lists and Booleans  (Masterschool)","Learn to work with strings and text in your Python code.","en-us"
"ud989","Programming and Development","","6 Weeks","JavaScript Design Patterns","JavaScript Design Patterns","JavaScript Design Patterns","JavaScript Design Patterns","","Changing Expectations","Changing Expectations","Learn why well-structured code is vitally important to a web app's structure, especially as the app gets larger. Explore how you can use MV* organizational framework to create cleaner projects.","en-us"
"nd028","Business","Beginner","3 Months","Marketing Analytics","Marketing Analytics","Marketing Analytics Techniques","Marketing Analytics Techniques","","Analyzing Marketing Data","Analyzing Marketing Data","","en-us"
"nd089","Artificial Intelligence","Beginner","3 Months","AI Programming with Python","AI Programming with Python","Introduction to Python for AI Programmers","Introduction to Python for AI Programmers","Start coding with Python, drawing upon libraries and automation scripts to solve complex problems quickly.","Using Python Data Types and Operators in AI Programming","Data Types and Operators","Familiarize yourself with the building blocks of Python! Learn about data types and operators, built-in functions, type conversion, whitespace, and style guidelines.","en-us"
"ud1001","None","","1 Weeks","Machine Learning Interview Preparation","Machine Learning Interview Preparation","Machine Learning Interview Preparation","Machine Learning Interview Preparation","","Technical Interviewing Techniques","Technical Interviewing Techniques","Learn about the “algorithm” for answering common technical interviewing questions. Practice and get tips for giving interviewers what they’re looking for.","en-us"
"nd429","Data Science","Beginner","","Business Intelligence Analytics","Business Intelligence Analytics","Predictive Data Analysis","Predictive Data Analysis","Develop the skills to make data-driven predictions with confidence. Using Power BI Desktop, you’ll dive into essential tools for predictive analysis, mastering techniques like classification, regression, and forecasting. With a hands-on approach and varied datasets, you’ll gain practical experience that brings predictive data analysis to life, preparing you to tackle real-world challenges. Learn to uncover patterns and insights that reveal future risks, analyze different market trends, and support critical decision-making within any organization. By the end, you’ll be ready to turn raw data into actionable insights, empowering you to guide strategic actions that make an impact in any enterprise setting.","Introduction to Predictive Data Analytics","Introduction to Predictive Data Analytics","This lesson will introduce predictive analytics concepts and a general overview of when to use it in your organization. We will also review the project and the primary tool we will use: Power BI.","en-us"
"cd12097","Cloud Computing","Intermediate","","AWS Cloud Fundamentals","AWS Cloud Fundamentals","AWS Cloud Fundamentals","AWS Cloud Fundamentals","The cloud has become a key enabler for innovation with beneficial features like high availability, unlimited capacity, and on-demand scalability and elasticity. Learn the fundamentals of cloud computing while being introduced to compute power, security, storage, networking, messaging, and management services in the cloud. While learning the fundamentals, you will explore tools and services offered by Amazon Web Services(AWS) through interactive, hands-on exercises. By the end of the course, you will have deployed your first website to AWS.","Deploy Static Website on AWS","Deploy Static Website on AWS","In this project, you will deploy a static website to AWS.","en-us"
"ud162","Business","","1 Months","Intro to Point & Click App Development","Intro to Point & Click App Development","Intro to Point & Click App Development","Intro to Point & Click App Development","","Problem Set 1 (30 mins)","Problem Set 1 (30 mins)","","en-us"
"cs313","Programming and Development","","2 Months","Intro to Theoretical Computer Science","Intro to Theoretical Computer Science","Intro to Theoretical Computer Science","Intro to Theoretical Computer Science","","Problem Set 4","Problem Set 4","","en-us"
"ud188","Artificial Intelligence","","2 Months","Intro to Deep Learning with PyTorch","Intro to Deep Learning with PyTorch","Intro to Deep Learning with PyTorch","Intro to Deep Learning with PyTorch","","Convolutional Neural Networks","Convolutional Neural Networks","Learn how to use convolutional neural networks to build state-of-the-art computer vision models.","en-us"
"cs222","Artificial Intelligence","","2 Months","Differential Equations in Action","Differential Equations in Action","Differential Equations in Action","Differential Equations in Action","","Problem Set 3","Problem Set 3","","en-us"
